Rownum,Predicteddate
885,20103464.165892906
886,20180828.81779791
887,20140305.558740363
888,20081177.44467984
889,20151935.10985367
890,20182300.26617793
891,20118113.575650375
892,20170862.6581731
893,20047154.025627732
894,20118064.161628835
895,20153202.164453905
896,20179881.532426093
897,20178358.552471645
898,20144687.96824228
899,20140797.520862814
900,19997762.219993632
901,20140499.35709809
902,20141480.572092194
903,20092244.6179892
904,20115319.494542405
905,20178538.732176673
906,20128875.39343727
907,20142680.15537341
908,20064730.28837035
909,20150295.22151347
910,20154925.211469907
911,20121818.05975603
912,20134093.216424108
913,20154079.3263544
914,20180965.230968513
915,20120163.541738827
916,20179919.628310688
917,20118645.744234126
918,20132914.417674985
919,20094794.04994286
920,20173405.76523149
921,20090402.98087675
922,20114194.946200177
923,20066115.906981066
924,20124414.728282467
925,20119703.73134281
926,20176861.81760299
927,20043901.586614367
928,20027945.377845045
929,20033181.92339445
930,19997608.79269718
931,20102044.703819327
932,20052575.42771508
933,20068537.79582857
934,20156095.582521353
935,20134085.28230524
936,20167560.04882407
937,20030423.98496457
938,20097394.896353066
939,20166255.319018
940,20096670.399748877
941,20121685.215509474
942,20124317.907596488
943,20160505.223861255
944,20163205.20110708
945,20151320.32604652
946,20045367.13407477
947,20167329.826836925
948,20097310.907679994
949,20129770.763425365
950,20014489.365283027
951,20137146.347638395
952,20023576.637261968
953,20184319.98954882
954,20072647.956136856
955,20141954.145995993
956,20153687.61818413
957,20182254.571282104
958,20156823.52383744
959,20175704.805451084
960,20109242.070861556
961,20194049.5332367
962,20164469.128434625
963,20141996.97926985
964,20131835.447816826
965,20126922.610967394
966,20128951.25056999
967,20048115.29392518
968,20145488.88213096
969,20187493.41356696
970,20147365.387538612
971,20142499.184314135
972,20137332.251133665
973,20145752.928023886
974,20117614.039274953
975,20153440.057699353
976,20177055.257889297
977,20162301.921888813
978,20039095.471731387
979,20133170.140590858
980,20164400.48012462
981,20154458.483863145
982,20179724.240245145
983,20073558.98911187
984,20130234.491648808
985,20101396.9086885
986,20128230.443113476
987,20132349.3676356
988,20122788.169878237
989,20151999.289324507
990,20138526.051668886
991,20176380.751240496
992,20113719.970920447
993,20164779.836134497
994,20087827.06737356
995,20147508.360239554
996,20138176.14152605
997,20172167.874516934
998,20164789.720674027
999,20090198.324332498
1000,20116387.761926983
1001,20135129.81204401
1002,20150658.02932353
1003,20157244.781509303
1004,20078622.848187234
1005,20151128.956985172
1006,20153565.47062478
1007,20172894.863817245
1008,20049559.991572212
1009,20161020.510235142
1010,20142771.051052906
1011,20158604.995178096
1012,20146285.01923063
1013,20153896.748688087
1014,20139446.02664624
1015,20145108.60381063
1016,20162892.087871414
1017,20150590.41932882
1018,20045202.4541847
1019,20079685.72334626
1020,20043443.878961235
1021,20065407.16558635
1022,20134682.272671435
1023,20072787.699220233
1024,20135943.919001896
1025,20152264.02857209
1026,20077448.197983682
1027,20002842.272625823
1028,20121032.13075286
1029,20162341.190952834
1030,20064232.0870557
1031,20157551.94145138
1032,20122990.611637544
1033,20175488.743872616
1034,20150432.343063023
1035,20134185.13201093
1036,20149713.68257428
1037,20152910.333786454
1038,20079285.556579832
1039,20065418.220608424
1040,20155584.594056804
1041,20077997.662722528
1042,20149459.155476104
